"Product Labels","Etiquetas de producto"
"Add New Label","Añadir nueva etiqueta"
"Save Label","Guardar etiqueta"
"Delete Label","Eliminar etiqueta"
"Edit Label '%1'","Editar etiqueta '%1'"
"New Label","Nueva etiqueta"
Settings,Configuración
Position,Posición
Top-Left,"Arriba a la izquierda"
Top-Center,Top-Center
Top-Right,"Arriba a la derecha"
Middle-Left,"Izquierda Media"
Middle-Center,"Centro Medio"
Middle-Right,Medio-derecha
Bottom-Left,"Inferior izquierda"
Bottom-Center,"Centro inferior"
Bottom-Right,"Inferior derecha"
Content,Contenido
"Label Text","Texto de la etiqueta"
"Custom Css Label","Etiqueta Css personalizada"
"Css Style Only. Example: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); width: 60px; height: 60px;background:#ff7800; border-radius:50%;","Sólo estilo Css. Ejemplo: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); ancho: 60px; altura: 60px;fondo:#ff7800; radio fronterizo:50%;"
"Label Custom Url","Url personalizada de la etiqueta"
"Round Method","Método redondo"
Math,Matemática
Ceil,Ceil
Floor,Piso
"Round Value","Valor redondo"
"Labels Gallery","Galería de etiquetas"
"Label Image","Imagen de etiqueta"
"Category Label","Etiqueta de categoría"
"Conditions (don't add conditions if label is applied to all products)","Condiciones (no agregue condiciones si la etiqueta se aplica a todos los productos)"
"Indexed Products","Productos indexados"
"Attribute Set","Conjunto de atributos"
"Product Label","Etiqueta del producto"
"Label Gallery","Galería de etiquetas"
"We couldn't find any labels","No pudimos encontrar ninguna etiqueta"
"Labels have been applied.","Se han aplicado etiquetas."
"Label has been applied.","Se ha aplicado la etiqueta."
"Label was deleted.","Se eliminó la etiqueta."
"Can't find a label to delete.","No se puede encontrar una etiqueta para eliminar."
"Label was disabled.","La etiqueta estaba desactivada."
"Can't find a label to disable.","No se puede encontrar una etiqueta para deshabilitar."
ProLabels,ProLabels
"Manage Labels","Administrar etiquetas"
"This label no longer exists.","Esta etiqueta ya no existe."
"Edit Label","Editar etiqueta"
"Label was enabled.","Se ha habilitado la etiqueta."
"Can't find a label to enable.","No se puede encontrar una etiqueta para habilitar."
"Label has been saved.","Se ha guardado la etiqueta."
"Something went wrong while saving the label.","Algo salió mal mientras guardaba la etiqueta."
"up to ","hasta "
Edit,Editar
"All Store Views","Todas las vistas de la tienda"
"Click here or drag and drop to add images.","Haga clic aquí o arrastre y suelte para agregar imágenes."
Swissup,Swissup
"jQuery Selector For Base Image Wrapper","jQuery Selector para el Contenedor de Imágenes Base"
"jQuery Selector For Content Labels Container","jQuery Selector para contenedor de etiquetas de contenido"
"On Sale","A la venta"
"SALE labels are the cost-effective way to mark store sales and attract visitors attention. They are shown on discounted and on-sale products. Using On Sale labels you catch customers attention to the promotional items.","Las etiquetas SALE son la forma rentable de marcar las ventas de las tiendas y atraer la atención de los visitantes. Se muestran en productos con descuento y a la venta. Usando las etiquetas On Sale capta la atención de los clientes sobre los artículos promocionales."
"Product Page","Página del producto"
Image,Imagen
"Custom Label","Etiqueta personalizada"
"Category Page","Categoría Página"
"Is New","Es nuevo"
"New Labels are used for the presentation of new items at your store.","Las nuevas etiquetas se utilizan para la presentación de nuevos artículos en su tienda."
"In Stock","En stock"
"In Stock labels are used to show low stock items. Using in stock and out of stock labels, you focus the customers attention on the limited availability of products.","En Stock, las etiquetas se utilizan para mostrar artículos de stock bajo. El uso de etiquetas en stock y fuera de stock, centra la atención de los clientes en la disponibilidad limitada de productos."
"Display if Stock is lower then","Mostrar si Stock es inferior"
"Out Of Stock","Fuera de stock"
"Apply Labels","Aplicar etiquetas"
"Product Image","Imagen del producto"
"Product Position","Posición del producto"
"Product Text","Texto del producto"
"Category Image","Categoría Imagen"
"Category Position","Posición de categoría"
"Category Text","Texto de categoría"
