SeoCrossLinks,SeoCrossLinks
"New Link","קישור חדש"
"Seo Cross links","קישורי Seo Cross"
"This link no longer exists.","קישור זה כבר לא קיים."
"You saved link.","שמרת את הקישור."
"Something went wrong while saving the link.","משהו השתבש בזמן שמירת הקישור."
"Category Description","תיאור הקטגוריה"
"Product Description","תיאור מוצר"
"CMS Page Content","תוכן עמוד CMS"
"Custom Page","עמוד מותאם אישית"
"Category Page","דף קטגוריה"
"Product Page","דף מוצר"
"Animation underline","קו תחתון אנימציה"
"Highlight background","הדגש רקע"
"Animation color and underline","צבע אנימציה וקו תחתון"
"Custom URL","כתובת אתר מותאם אישית"
"Keyword to Search","מילת מפתח לחיפוש"
"Link Title","כותרת קישור"
"Search In","חפשי ב"
Style,סגנון
"Replacement Count","ספירת החלפות"
"Add New Link","הוסף קישור חדש"
"Are you sure you want to delete selected menu's?","האם אתה בטוח שברצונך למחוק את התפריטים שנבחרו?"
"Search in","חפשי ב"
"Link Target","יעד קישור"
