"Continue Shopping","مواصلة التسوق"
Checkout,الدفع
Added,"تمت الإضافة"
"Add to Cart","أضف إلى السلة"
"Are you sure you would like to remove this item from the shopping cart?","هل أنت متأكد أنك تريد إزالة هذا العنصر من عربة التسوق؟"
Ajaxpro,أجاكسبرو
Main,الأساسية
"Show popup after product was added","عرض النافذة المنبثقة بعد إضافة المنتج"
"Add to cart dialog window type","أضف إلى نوع نافذة حوار السلة"
"Override Minicart Sidebar","تجاوز الشريط الجانبي المصغر"
"The type of cart dialog window","نوع نافذة حوار سلة التسوق"
"Show floating cart","عرض عربة عائمة"
"Show product popup for product with any options","عرض المنتج المنبثق للمنتج مع أي خيارات"
"Forced validation for ajax request in catalog","التحقق القسري لطلب اجاكس في الكتالوج"
