"Save Link","שמור קישור"
"The link has been deleted.","הקישור נמחק."
"Unable to find a link to delete.","אין אפשרות למצוא קישור למחיקה."
"Edit Link","ערוך קישור"
"New Link","הקישור החדש"
"Manage Links","ניהול קישורים"
"HTML Sitemap","מפת אתר HTML"
"Link has been saved.","הקישור נשמר."
"Something went wrong while saving the link.","משהו השתבש בזמן שהציל את הקשר."
"2 Columns","2 טורים במבצע"
"4 Columns","4 טורים בעמודים"
"Link was not registered","הקישור לא נרשם"
"Sitemap Page Title","כותרת דף מפת האתר"
"Sitemap Meta Description","מטא-תיאור של מפת האתר"
"Sitemap Meta Keywords","מפת האתר מילות מפתח"
"Sitemap Content Settings","הגדרות תוכן של מפת האתר"
"Show Stores on Sitemap","הצג חנויות במפת האתר"
"Show Categories on Sitemap","הצג קטגוריות במפת האתר"
"Max Categories Depth","עומק קטגוריות מקסימום"
"Use 0 for all levels","השתמש ב-0 עבור כל הרמות"
"Show Products on Sitemap","הצג מוצרים במפת האתר"
"Show Out of Stock Products","הצג מתוך מוצרי מניות"
"Sort Products and Categories By","מיון מוצרים וקטגוריות לפי"
"Number of Columns","מספר הטורים"
"Group Links by First Letter","קבץ קישורים לפי אות ראשונה"
"Show CMS Pages on Sitemap","הצג דפי CMS במפת האתר"
"Exclude CMS Pages","אל תכלול דפי CMS"
"Show Custom Links on Sitemap","הצג קישורים מותאמים אישית במפת האתר"
"To add custom links go Swissup > HTML Sitemap Links ","כדי להוסיף קישורים מותאמים אישית ללכת סוויסופ > קישורים HTML מפת האתר "
"Are you sure you want to enable selected items?","האם אתה בטוח שברצונך להפוך פריטים שנבחרו לזמינים?"
"Are you sure you want to disable selected items?","האם אתה בטוח שברצונך להפוך פריטים שנבחרו ללא זמינים?"
"Link Information","מידע אודות קישור"
"CMS Pages","דפי CMS"
"Other Pages","דפים אחרים"
