"Generate metadata","إنشاء بيانات تعريف"
"Don't add any conditions if template is applied to all products.","لا تقم بإضافة أي شروط إذا تم تطبيق القالب على جميع المنتجات."
"Entity Id","معرف الكيان"
"Generated at","تم إنشاؤها في"
"Generation log","سجل الإنشاء"
"Generate Metadata","إنشاء بيانات التعريف"
"Complete at %1","اكتمل عند %1"
"%1: items processed - %2","%1: العناصر التي تمت معالجتها - %2"
"Start at %1","ابدأ من %1"
"You've deleted template.","لقد حذفت القالب."
"We can't find template to delete.","لا يمكننا العثور على قالب لحذفه."
"Template with ID %1 no longer exists.","لم يعد القالب ذو المعرّف %1 موجوداً."
"Metadata Templates","قوالب بيانات التعريف"
"Edit ""%1""","تحرير ""%1"""
"Create template","إنشاء قالب"
"A total of %1 template(s) have been deleted.","تم حذف قالب %1 (قالب) إجمالي."
"A total of %1 template(s) have updated status.","تم تحديث حالة قالب %1 (قوالب) بنسبة %1."
"New Template","قالب جديد"
"This template no longer exists.","لم يعد هذا القالب موجوداً."
"You saved the template.","لقد قمت بحفظ القالب."
"Something went wrong while saving the template.","حدث خطأ ما أثناء حفظ القالب."
"Category Attribute","سمة الفئة"
"Category ID","معرف الفئة"
"All entities","جميع الكيانات"
"There is generated metadata for %1.","هناك بيانات تعريف تم إنشاؤها لـ %1."
Generated,انشاء
"Value is read only","تتم قراءة القيمة فقط"
"Force to use generated metadata","فرض استخدام بيانات التعريف التي تم إنشاؤها"
"Start Time","وقت البدء"
"Records to process per job","السجلات التي يجب معالجتها لكل وظيفة"
"Metadata Template Information","معلومات قالب بيانات التعريف"
"Generate metadata from templates","إنشاء بيانات تعريف من القوالب"
"Are you sure you want to delete selected templates?","هل أنت متأكد من أنك تريد حذف القوالب المحددة؟"
"Template for","قالب لـ"
"Data Type","نوع البيانات"
