"Record was deleted.",记录已被删除。
"Can't find a record to delete.",找不到要删除的记录。
SoldTogether,一起出售
"Customers Who Bought This Item Also Bought",购买此商品的客户也购买了
"Please correct the data sent.",请更正发送的数据。
"Something went wrong while saving the page.",保存页面时出现问题。
"We couldn't find any customers",我们找不到任何客户
"All Customer Orders have been indexed.",所有客户订单都已编制索引。
"Frequently Bought Together",经常一起购买
"We couldn't find any orders",我们找不到任何订单
"All Orders have been indexed.",所有订单都已编制索引。
"This Item",本项目
"Add All to Cart",全部添加到购物车
Swissup,瑞瑞普
Enabled,启用
"Count Products to Display",计数要显示的产品
"Index Customer Orders",索引客户订单
"Related Product Name",相关产品名称
"Is Admin",是管理员
"Index Orders",索引订单
"Customers who bought this product also commonly purchased the following combination of items",购买此产品的客户通常也购买以下组合商品
"Customers Who Bought This Item(s) Also Bought",购买此商品的客户也购买了
"Email Blocks Settings",电子邮件块设置
"Frequently Bought Together Count Products to Display",经常一起购买计数要显示的产品
"Customer Bought Together Count Products to Display",客户一起购买计数要显示的产品
"List random products for empty collections",列出空集合的随机产品
"Show Out Of Stock Products",显示缺货产品
