"Advanced Properties","Właściwości zaawansowane"
"Links with `nofollow` in Layered Navigation","Linki z `nofollow` w nawigacji warstwowej"
"4 and up","4 i więcej"
"3 and up","3 i więcej"
"2 and up","2 i więcej"
"1 and up","1 i więcej"
any,Wszelki
"In URL body","W treści adresu URL"
"As request parameter","Jako parametr żądania"
"Infinite recursion call or category tree is too deep.","Nieskończone wywołanie rekursji lub drzewo kategorii jest zbyt głębokie."
In,Cala
Out,"Na zewnątrz"
"SEO URLs","Adresy URL SEO"
"Manage In-URL Attribute Label","Zarządzanie etykietą atrybutu w adresie URL"
"Use this section to set attribute labels for URLs in layered navigation.","Ta sekcja służy do ustawiania etykiet atrybutów adresów URL w nawigacji warstwowej."
"Manage In-URL Option Label for Attribute","Zarządzanie etykietą opcji w adresie URL dla atrybutu"
"Use this section to set attribute values for URLs in layered navigation.","Ta sekcja służy do ustawiania wartości atrybutów adresów URL w nawigacji warstwowej."
Option,Opcja
"Sending attribute values as package.","Wysyłanie wartości atrybutów jako pakietu."
"Use separator for filters","Używanie separatora do filtrów"
"Separator string","Ciąg separatora"
"Search controller name in URLs","Nazwa kontrolera wyszukiwania w adresach URL"
"Magento controller name for search is 'catalogsearch/result'. We change it to 'search'. You can change it to any other name.","Nazwa kontrolera Magento dla wyszukiwania to 'catalogsearch/result'. Zmieniamy go na 'search'. Można go zmienić na dowolną inną nazwę."
"Place search term","Umieść wyszukiwany termin"
"CMS Pages","Strony CMS"
"Redirect to site homepage when visitor tries to access respective CMS page with direct link","Przekieruj do strony głównej witryny, gdy użytkownik próbuje uzyskać dostęp do odpowiedniej strony CMS z bezpośrednim linkiem"
"In-URL label","Etykieta w adresie URL"
