"Record was deleted.","Se eliminó el registro."
"Can't find a record to delete.","No se puede encontrar un registro para eliminar."
SoldTogether,SoldTogether
"Customers Who Bought This Item Also Bought","Los clientes que compraron este artículo también compraron"
"Please correct the data sent.","Corrija los datos enviados."
"Something went wrong while saving the page.","Algo salió mal mientras guardaba la página."
"We couldn't find any customers","No pudimos encontrar ningún cliente"
"All Customer Orders have been indexed.","Se han indexado todos los pedidos de cliente."
"Frequently Bought Together","Comprados con frecuencia juntos"
"We couldn't find any orders","No pudimos encontrar ningún pedido"
"All Orders have been indexed.","Todas las órdenes se han indexado."
"This Item","Este artículo"
"Add All to Cart","Añadir todo al carrito"
Swissup,Swissup
Enabled,Habilitado
"Count Products to Display","Contar productos para mostrar"
"Index Customer Orders","Indexar pedidos de clientes"
"Related Product Name","Nombre del producto relacionado"
"Is Admin","¿Es Admin"
"Index Orders","Ordenes de índice"
"Customers who bought this product also commonly purchased the following combination of items","Los clientes que compraron este producto también suelen comprar la siguiente combinación de artículos"
"Customers Who Bought This Item(s) Also Bought","Los clientes que compraron este artículo también compraron"
"Email Blocks Settings","Configuración de bloques de correo electrónico"
"Frequently Bought Together Count Products to Display","Con frecuencia comprados juntos contar productos para mostrar"
"Customer Bought Together Count Products to Display","Cliente comprado juntos contar productos para mostrar"
"List random products for empty collections","Lista de productos aleatorios para colecciones vacías"
"Show Out Of Stock Products","Mostrar productos fuera de stock"
