"Record was deleted.","Rekord został usunięty."
"Can't find a record to delete.","Nie można znaleźć rekordu do usunięcia."
SoldTogether,"Sprzedane Razem"
"Customers Who Bought This Item Also Bought","Klienci, którzy kupili ten przedmiot, również kupili"
"Please correct the data sent.","Prosimy o poprawienie przesłanych danych."
"Something went wrong while saving the page.","Coś poszło nie tak podczas zapisywania strony."
"We couldn't find any customers","Nie mogliśmy znaleźć żadnych klientów"
"All Customer Orders have been indexed.","Wszystkie zamówienia odbiorcy zostały zindeksowane."
"Frequently Bought Together","Często kupowane razem"
"We couldn't find any orders","Nie mogliśmy znaleźć żadnych zamówień"
"All Orders have been indexed.","Wszystkie zamówienia zostały zindeksowane."
"This Item","Ten przedmiot"
"Add All to Cart","Dodaj wszystko do koszyka"
Swissup,Szwajcarzy
Enabled,Włączone
"Count Products to Display","Zliczanie produktów do wyświetlenia"
"Index Customer Orders","Indeksuj zamówienia odbiorców"
"Related Product Name","Powiązana nazwa produktu"
"Is Admin","Jest administratorem"
"Index Orders","Zamówienia indeksowe"
"Customers who bought this product also commonly purchased the following combination of items","Klienci, którzy kupili ten produkt, często kupowali również następującą kombinację produktów"
"Customers Who Bought This Item(s) Also Bought","Klienci, którzy kupili ten przedmiot, kupili również"
"Email Blocks Settings","Ustawienia bloków poczty e-mail"
"Frequently Bought Together Count Products to Display","Często kupowane razem  - ilość produkty do wyświetlenia"
"Customer Bought Together Count Products to Display","Klient kupiony razem - ilość produkty do wyświetlenia"
"List random products for empty collections","Lista losowych produktów dla pustych kolekcji"
"Show Out Of Stock Products","Pokaż produkty niedostępne"
