"Advanced Properties","고급 속성"
"Links with `nofollow` in Layered Navigation","계층화된 탐색에서 'nofollow'가 있는 링크"
"4 and up","4 세 이상"
"3 and up","3 세 이상"
"2 and up","2 세 이상"
"1 and up","1 이상"
any,어떤
"In URL body","URL 본문에서"
"As request parameter","요청 매개 변수로"
"Infinite recursion call or category tree is too deep.","무한 재귀 호출 또는 범주 트리가 너무 깊습니다."
In,에서
Out,"아웃 (것)으로"
"SEO URLs","SEO URL"
"Manage In-URL Attribute Label","URL 내 특성 레이블 관리"
"Use this section to set attribute labels for URLs in layered navigation.","이 섹션을 사용하여 계층화된 탐색에서 URL에 대한 특성 레이블을 설정합니다."
"Manage In-URL Option Label for Attribute","특성에 대한 URL 내 옵션 레이블 관리"
"Use this section to set attribute values for URLs in layered navigation.","레이어드 탐색에서 URL에 대한 속성 값을 설정하려면 이 섹션을 사용합니다."
Option,옵션
"Sending attribute values as package.","특성 값을 패키지로 전송합니다."
"Use separator for filters","필터에 구분 기호 사용"
"Separator string","구분 기호 문자열"
"Search controller name in URLs","URL에서 컨트롤러 이름 검색"
"Magento controller name for search is 'catalogsearch/result'. We change it to 'search'. You can change it to any other name.","검색에 대 한 Magento 컨트롤러 이름은 '카탈로그 검색/결과'. '검색'으로 변경합니다. 다른 이름으로 변경할 수 있습니다."
"Place search term","검색어 배치"
"CMS Pages","CMS 페이지"
"Redirect to site homepage when visitor tries to access respective CMS page with direct link","방문자가 직접 링크와 함께 각 CMS 페이지에 액세스하려고 할 때 사이트 홈페이지로 리디렉션"
"In-URL label","URL 내 레이블"
