"Record was deleted.","Record is verwijderd."
"Can't find a record to delete.","Kan geen record vinden om te verwijderen."
SoldTogether,SoldTogether
"Customers Who Bought This Item Also Bought","Klanten die dit object hebben gekocht, hebben ook"
"Please correct the data sent.","Corrigeer de verzonden gegevens."
"Something went wrong while saving the page.","Er ging iets mis tijdens het opslaan van de pagina."
"We couldn't find any customers","We konden geen klanten vinden"
"All Customer Orders have been indexed.","Alle klantorders zijn geïndexeerd."
"Frequently Bought Together","Vaak samen gekocht"
"We couldn't find any orders","We konden geen orders vinden."
"All Orders have been indexed.","Alle orders zijn geïndexeerd."
"This Item","Dit object"
"Add All to Cart","Alles toevoegen aan winkelwagentje"
Swissup,"Swissup Swissup"
Enabled,Ingeschakeld
"Count Products to Display","Producten tellen om weer te geven"
"Index Customer Orders","Klantorders indexeren"
"Related Product Name","Gerelateerde productnaam"
"Is Admin","Is beheerder"
"Index Orders",Indexorders
"Customers who bought this product also commonly purchased the following combination of items","Klanten die dit product kochten, kochten ook vaak de volgende combinatie van artikelen"
"Customers Who Bought This Item(s) Also Bought","Klanten die dit object(en) hebben gekocht, hebben ook iets gekocht"
"Email Blocks Settings","Instellingen voor e-mailblokken"
"Frequently Bought Together Count Products to Display","Veel gekochte samengekochte telproducten om weer te geven"
"Customer Bought Together Count Products to Display","Klant die samen gekocht is, tel producten om weer te geven"
"List random products for empty collections","Willekeurige producten voor lege verzamelingen weergeven"
"Show Out Of Stock Products","Toon niet op voorraad zijnde producten"
