"Record was deleted.","Запись была удалена."
"Can't find a record to delete.","Запись для удаления не найдена."
SoldTogether,SoldTogetherTogether
"Customers Who Bought This Item Also Bought","Клиенты, которые купили этот пункт также купил"
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"Something went wrong while saving the page.","Что-то пошло не так, сохраняя страницу."
"We couldn't find any customers","Мы не смогли найти клиентов"
"All Customer Orders have been indexed.","Все заказы клиентов были проиндексированы."
"Frequently Bought Together","Часто покупают вместе"
"We couldn't find any orders","Мы не смогли найти никаких заказов"
"All Orders have been indexed.","Все заказы проиндексированы."
"This Item","Этот пункт"
"Add All to Cart","Добавить все в корзину"
Swissup,Swissup
Enabled,Включен
"Count Products to Display","Подсчитывайте продукты для отображени"
"Index Customer Orders","Заказы клиентов индекса"
"Related Product Name","Соответствующее название продукта"
"Is Admin","Создаг администратором"
"Index Orders","Индекс заказов"
"Customers who bought this product also commonly purchased the following combination of items","Клиенты, купившие этот продукт, также обычно покупали следующую комбинацию товаров"
"Customers Who Bought This Item(s) Also Bought","Клиенты, которые купили этот пункт (ы) также купил"
"Email Blocks Settings","Настройки блоков электронной почты"
"Frequently Bought Together Count Products to Display","Количество продуктов для отображения Часто купленные вместе"
"Customer Bought Together Count Products to Display","Количество продуктов для отображения Клиент купил вместе "
"List random products for empty collections","Список случайных продуктов для пустых коллекций"
"Show Out Of Stock Products","Показать продукты остутсвующие на складне"
