"Product Labels","Etykiety produktów"
"Add New Label","Dodaj nową etykietę"
"Save Label","Zapisz etykietę"
"Delete Label","Usuń etykietę"
"Edit Label '%1'","Edytuj etykietę '%1'"
"New Label","Nowa etykieta"
Settings,Ustawienia
Position,Pozycji
Top-Left,"Lewy górny"
Top-Center,"Środek górny"
Top-Right,"W prawym górnym rogu"
Middle-Left,Środkowo-lewica
Middle-Center,"Środek środkowy"
Middle-Right,"Środkowa prawica"
Bottom-Left,"Lewy dolny r."
Bottom-Center,"Środek dołu"
Bottom-Right,"Prawy dolny r."
Content,Zawartości
"Label Text","Tekst etykiety"
"Custom Css Label","Niestandardowa etykieta Css"
"Css Style Only. Example: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); width: 60px; height: 60px;background:#ff7800; border-radius:50%;","Tylko styl css. Przykład: kolor: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); szerokość: 60px; wysokość: 60px;tło:#ff7800; promień obramowania:50%;"
"Label Custom Url","Niestandardowy adres URL etykiety"
"Round Method","Metoda okrągła"
Math,Matematyki
Ceil,Ceil
Floor,Podłogi
"Round Value","Wartość zaokrąglenia"
"Labels Gallery","Galeria etykiet"
"Label Image","Obraz etykiety"
"Category Label","Etykieta kategorii"
"Conditions (don't add conditions if label is applied to all products)","Warunki (nie dodawaj warunków, jeśli etykieta jest stosowana do wszystkich produktów)"
"Indexed Products","Produkty indeksowane"
"Attribute Set","Zestaw atrybutów"
"Product Label","Etykieta produktu"
"Label Gallery","Galeria etykiet"
"We couldn't find any labels","Nie mogliśmy znaleźć żadnych etykiet"
"Labels have been applied.","Etykiety zostały zastosowane."
"Label has been applied.","Etykieta została zastosowana."
"Label was deleted.","Etykieta została usunięta."
"Can't find a label to delete.","Nie można znaleźć etykiety do usunięcia."
"Label was disabled.","Etykieta została wyłączona."
"Can't find a label to disable.","Nie można znaleźć etykiety, aby wyłączyć."
ProLabels,"ProLabels (ProLabels)"
"Manage Labels","Zarządzanie etykietami"
"This label no longer exists.","Ta etykieta już nie istnieje."
"Edit Label","Edytuj etykietę"
"Label was enabled.","Etykieta została włączona."
"Can't find a label to enable.","Nie można znaleźć etykiety, aby włączyć."
"Label has been saved.","Etykieta została zapisana."
"Something went wrong while saving the label.","Coś poszło nie tak podczas zapisywania etykiety."
"up to ","do "
Edit,Edytuj
"All Store Views","Wszystkie widoki sklepu"
"Click here or drag and drop to add images.","Kliknij tutaj lub przeciągnij i upuść, aby dodać obrazy."
Swissup,Szwajcarzy
"jQuery Selector For Base Image Wrapper","selektor jQuery dla otoki obrazu podstawowego"
"jQuery Selector For Content Labels Container","jQuery Selector dla kontenera etykiet zawartości"
"On Sale","W sprzedaży"
"SALE labels are the cost-effective way to mark store sales and attract visitors attention. They are shown on discounted and on-sale products. Using On Sale labels you catch customers attention to the promotional items.","Etykiety SPRZEDAŻY to opłacalny sposób oznaczania sprzedaży w sklepach i przyciągania uwagi odwiedzających. Są one wyświetlane na produktach ze zniżką i w sprzedaży. Używając etykiet On Sale, przyciągasz uwagę klientów do przedmiotów promocyjnych."
"Product Page","Strona produktu"
Image,Obrazu
"Custom Label","Etykieta niestandardowa"
"Category Page","Strona kategorii"
"Is New","Jest nowy"
"New Labels are used for the presentation of new items at your store.","Nowe etykiety są używane do prezentacji nowych elementów w sklepie."
"In Stock","W magazynie"
"In Stock labels are used to show low stock items. Using in stock and out of stock labels, you focus the customers attention on the limited availability of products.","W magazynie etykiety są używane do pokazywania niskich zapasów. Korzystając z etykiet w magazynie i poza zapasami, skupiasz uwagę klientów na ograniczonej dostępności produktów."
"Display if Stock is lower then","Wyświetl, jeśli zapasy są niższe, a następnie"
"Out Of Stock","Brak w magazynie"
"Apply Labels","Stosowanie etykiet"
"Product Image","Obraz produktu"
"Product Position","Pozycja produktu"
"Product Text","Tekst produktu"
"Category Image","Obraz kategorii"
"Category Position","Pozycja kategorii"
"Category Text","Tekst kategorii"
