Handles,مقابض
"Save Banner","حفظ بانر"
"Delete Banner","حذف البانر"
"Edit Banner - '%1'","تحرير الشعار - '%1'"
"New Banner","شعار جديد"
"Css Class","فئة Css"
"Image Options","خيارات الصورة"
"Use image resizer","استخدم أداة تغيير حجم الصورة"
"Retina support","دعم شبكية العين"
"Actual image size should be twice larger then entered width and height","يجب أن يكون الحجم الفعلي للصورة أكبر بمرتين ثم يتم إدخال العرض والارتفاع"
"Background Color","لون الخلفية"
"Html Content","محتوى Html"
Banner,بانر
Lightbox,"صندوق مضئ"
Awesomebar,"شريط رائع"
"Hide Url","إخفاء عنوان Url"
Target,استهداف
Popup,"يظهر فجأة"
Blank,فارغ
Self,الذات
"Sort Order","امر ترتيب"
"Store View","عرض المتجر"
Placeholder,"عنصر نائب"
Statistics,الإحصاء
"New Placeholder","عنصر نائب جديد"
"Banners Display Count","عدد عرض اللافتات"
"Sort mode","وضع الفرز"
"By Banners Sort Order","حسب ترتيب الفرز"
Random,عشوائي
"Banner was deleted.","تم حذف البانر."
"Banner was disabled.","تم تعطيل البانر."
EasyBanner,EasyBanner
Banners,لافتات
"This banner no longer exists.","لم يعد هذا الشعار موجودًا."
"Edit Banner","تحرير الشعار"
"Banner was enabled.","تم تمكين بانر."
"Manage Banners","إدارة اللافتات"
"Banner has been saved.","تم حفظ البانر."
"Something went wrong while saving the banner.","حدث خطأ ما أثناء حفظ البانر."
"Placeholder was deleted.","تم حذف العنصر النائب."
"Placeholder was disabled.","تم تعطيل العنصر النائب."
Placeholders,"العناصر النائبة"
"This placeholder no longer exists.","هذا العنصر النائب لم يعد موجودا."
"Placeholder was enabled.","تم تمكين العنصر النائب."
"Manage Placeholders","إدارة العناصر النائبة"
"Placeholder has been saved.","تم حفظ العنصر النائب."
"Something went wrong while saving the placeholder.","حدث خطأ ما أثناء حفظ العنصر النائب."
"Subtotal (Excl.Tax)","المجموع الفرعي (بدون الضريبة)"
"Subtotal (Incl.Tax)","المجموع الفرعي (بما في ذلك الضريبة)"
"Clicks Count","عدد النقرات"
"Display Count","عدد العرض"
"Display Count per Customer","عرض عدد العملاء"
"Lightbox/Awesomebar: Customer browsing time (seconds)","Lightbox / Awesomebar: وقت تصفح العملاء (بالثواني)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","Lightbox / Awesomebar: وقت عدم نشاط العميل (بالثواني)"
"Lightbox/Awesomebar: Customer activity time (seconds)","Lightbox / Awesomebar: وقت نشاط العميل (بالثواني)"
"Lightbox/Awesomebar: Scroll offset","Lightbox / Awesomebar: إزاحة التمرير"
"Open Chooser","افتح المنتقي"
%1%1"Last 7 days","اخر 7 ايام"
"Last 30 days","آخر 30 يومًا"
"Last 6 Month","آخر 6 شهور"
"Last 12 Month","آخر 12 شهر"
"All Time","كل الوقت"
"Banner Statistics","إحصائيات البانر"
"EasyBanner Banner","EasyBanner بانر"
"Select Banner...","حدد شعار ..."
"EasyBanner Placeholder","عنصر نائب EasyBanner"
"Select Placeholder...","حدد عنصر نائب ..."
"Add Banner","أضف بانر"
"Image Title","عنوان الصورة"
"Is Active",نشط
"Add Placeholder","إضافة عنصر نائب"
"Additional CSS Class","فئة CSS إضافية"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","إذا كنت ستعرض العنصر النائب هذا في شريط جانبي ، فمن المستحسن تعيين القيمة التالية: block block-easybanner-placeholder"
"Parent Container","الحاوية الأم"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","لا تعرف اسم الحاوية؟ اتركه فارغًا وعيّن العنصر النائب للحاوية المطلوبة عبر واجهة ""المحتوى> الأدوات"". يمكنك أيضًا عرض قائمة بمواضع العناصر النائبة الشائعة على http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/"
Position,موضع
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","مطلوب صيغة سمة XML. أمثلة: before = ""-""، after = ""-""، before = ""block.name"""
"Don't show anymore","لا تظهر بعد الآن"
"Exit intent time (seconds)","وقت الخروج من النية (بالثواني)"
