"Save Link","Сохранить ссылку"
"The link has been deleted.","Ссылка удалена."
"Unable to find a link to delete.","Не удается найти ссылку для удаления."
"Edit Link","Отожесть ссылка"
"New Link","Новая ссылка"
"Manage Links","Управление ссылками"
"HTML Sitemap","HTML Sitemap"
"Link has been saved.","Ссылка сохранена."
"Something went wrong while saving the link.","Что-то пошло не так при сохранении ссылки."
"2 Columns","2 колонки"
"4 Columns","4 колонки"
"Link was not registered","Ссылка не была зарегистрирована"
"Sitemap Page Title","Название страницы сайта"
"Sitemap Meta Description","Sitemap Мета Описание"
"Sitemap Meta Keywords","Sitemap Мета Ключевые слова"
"Sitemap Content Settings","Настройки контента Sitemap"
"Show Stores on Sitemap","Показать магазины на Sitemap"
"Show Categories on Sitemap","Показать Категории на sitemap"
"Max Categories Depth","Макс Категории Глубина"
"Use 0 for all levels","Используйте 0 для всех уровней"
"Show Products on Sitemap","Показать продукты на Sitemap"
"Show Out of Stock Products","Показать из фондовых продуктов"
"Sort Products and Categories By","Сортировать продукты и категории по"
"Number of Columns","Количество столбцов"
"Group Links by First Letter","Групповые ссылки по первому письму"
"Show CMS Pages on Sitemap","Показать страницы CMS на sitemap"
"Exclude CMS Pages","Исключить страницы CMS"
"Show Custom Links on Sitemap","Отображение пользовательских ссылок на Sitemap"
"To add custom links go Swissup > HTML Sitemap Links ","Чтобы добавить пользовательские ссылки перейти Swissup HTML Sitemap Ссылки "
"Are you sure you want to enable selected items?","Вы уверены, что хотите включить выбранные элементы?"
"Are you sure you want to disable selected items?","Вы уверены, что хотите отключить выбранные предметы?"
"Link Information","Информация о ссылках"
"CMS Pages","Страницы CMS"
"Other Pages","Другие страницы"
