"Generate metadata","Создание метаданных"
"Don't add any conditions if template is applied to all products.","Не добавляйте никаких условий, если шаблон применяется ко всем продуктам."
"Entity Id","Идентификатор сущности"
"Generated at","Генерируется в"
"Generation log","Журнал поколений"
"Generate Metadata","Создание метаданных"
"Complete at %1","Комплект при %1"
"%1: items processed - %2","01: обработанные элементы - %2"
"Start at %1","Начало с %1"
"You've deleted template.","Вы удалили шаблон."
"We can't find template to delete.","Мы не можем найти шаблон для удаления."
"Template with ID %1 no longer exists.","Шаблон с ID %1 больше не существует."
"Metadata Templates","Метаданные шаблоны"
"Edit ""%1""","Оторите ""%1"""
"Create template","Создание шаблона"
"A total of %1 template(s) have been deleted.","В общей сложности %1 шаблон (ы) были удалены."
"A total of %1 template(s) have updated status.","В общей сложности %1 шаблон (ы) имеют обновленный статус."
"New Template","Новый шаблон"
"This template no longer exists.","Этот шаблон больше не существует."
"You saved the template.","Вы сохранили шаблон."
"Something went wrong while saving the template.","Что-то пошло не так при сохранении шаблона."
"Category Attribute","Категория Атрибут"
"Category ID","Идентификатор категории"
"All entities","Все организации"
"There is generated metadata for %1.","Существует сгенерированные метаданные для %1."
Generated,Созданный
"Value is read only","Значение читается только"
"Force to use generated metadata","Сила использования генерируемых метаданных"
"Start Time","Время начала"
"Records to process per job","Записи для обработки на работу"
"Metadata Template Information","Информация о шаблонах метаданных"
"Generate metadata from templates","Создание метаданных из шаблонов"
"Are you sure you want to delete selected templates?","Вы уверены, что хотите удалить выбранные шаблоны?"
"Template for","Шаблон для"
"Data Type","Тип данных"
