"Record was deleted.","Datensatz wurde gelöscht."
"Can't find a record to delete.","Es kann kein Datensatz zum Löschen gefunden werden."
SoldTogether,SoldTogether
"Customers Who Bought This Item Also Bought","Kunden, die diesen Artikel gekauft haben, auch gekauft"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"Something went wrong while saving the page.","Beim Speichern der Seite ist etwas schief gelaufen."
"We couldn't find any customers","Wir konnten keine Kunden finden"
"All Customer Orders have been indexed.","Alle Kundenaufträge wurden indiziert."
"Frequently Bought Together","Häufig zusammen gekauft"
"We couldn't find any orders","Wir konnten keine Bestellungen finden"
"All Orders have been indexed.","Alle Bestellungen wurden indiziert."
"This Item","Dieser Artikel"
"Add All to Cart","Alle zum Warenkorb hinzufügen"
Swissup,Swissup
Enabled,Aktiviert
"Count Products to Display","Zählen von Produkten, die angezeigt werden sollen"
"Index Customer Orders",Index-Kundenaufträge
"Related Product Name","Zugehöriger Produktname"
"Is Admin","Ist Admin"
"Index Orders",Index-Orders
"Customers who bought this product also commonly purchased the following combination of items","Kunden, die dieses Produkt gekauft haben, kauften häufig auch die folgende Kombination von Artikeln"
"Customers Who Bought This Item(s) Also Bought","Kunden, die diesen Artikel gekauft haben, auch gekauft"
"Email Blocks Settings","Einstellungen für E-Mail-Blöcke"
"Frequently Bought Together Count Products to Display","Häufig gekaufte Zusammen-Zählprodukte zum Anzeigen"
"Customer Bought Together Count Products to Display","Customer Bought Together Count Products to Display"
"List random products for empty collections","Auflisten zufälliger Produkte für leere Sammlungen"
"Show Out Of Stock Products","Ausverkaufte Produkte anzeigen"
