"Save Link",リンクを保存
"The link has been deleted.",リンクは削除されました。
"Unable to find a link to delete.",削除するリンクが見つかりません。
"Edit Link",リンクの編集
"New Link",新しいリンク
"Manage Links",リンクの管理
"HTML Sitemap","HTML サイトマップ"
"Link has been saved.",リンクが保存されました。
"Something went wrong while saving the link.",リンクを保存中に何かが問題になった。
"2 Columns","2 列"
"4 Columns","4 列"
"Link was not registered",リンクが登録されていませんでした
"Sitemap Page Title","サイトマップ ページのタイトル"
"Sitemap Meta Description","サイトマップ メタの説明"
"Sitemap Meta Keywords",サイトマップのメタキーワード
"Sitemap Content Settings","サイトマップ コンテンツの設定"
"Show Stores on Sitemap",サイトマップにストアを表示
"Show Categories on Sitemap",サイトマップにカテゴリを表示
"Max Categories Depth",最大カテゴリの深さ
"Use 0 for all levels","すべてのレベルに 0 を使用する"
"Show Products on Sitemap",サイトマップに製品を表示
"Show Out of Stock Products",在庫切れ製品の表示
"Sort Products and Categories By",製品とカテゴリの並べ替え基準
"Number of Columns",列数
"Group Links by First Letter",最初の文字でリンクをグループ化
"Show CMS Pages on Sitemap","サイトマップに CMS ページを表示"
"Exclude CMS Pages","CMS ページを除外する"
"Show Custom Links on Sitemap","サイトマップにカスタム リンクを表示する"
"To add custom links go Swissup > HTML Sitemap Links ","カスタム リンクを追加するには、スイスアップ > HTML サイトマップ リンク "
"Are you sure you want to enable selected items?",選択した項目を有効にしますか?
"Are you sure you want to disable selected items?",選択した項目を無効にしますか?
"Link Information",リンク情報
"CMS Pages","CMS ページ"
"Other Pages",その他のページ
