SeoCrossLinks,SeoCrossLinks
"New Link","Нова посилання"
"Seo Cross links","Seo Перехресні посилання"
"This link no longer exists.","Це посилання більше не існує."
"You saved link.","Ви зберегли посилання."
"Something went wrong while saving the link.","Щось пішло не так, зберігаючи посилання."
"Category Description","Опис категорії"
"Product Description","Опис продукту"
"CMS Page Content","Вміст сторінки CMS"
"Custom Page","Спеціальна сторінка"
"Category Page","Сторінка категорії"
"Product Page","Сторінка продукту"
"Animation underline","Анімація підкреслюється"
"Highlight background","Виділіть фон"
"Animation color and underline","Колір анімації та підкреслення"
"Custom URL","Спеціальна URL-адреса"
"Keyword to Search","Ключове слово для пошуку"
"Link Title","Назва посилання"
"Search In","Шукати в"
Style,Стиль
"Replacement Count","Кількість заміни"
"Add New Link","Додати нове посилання"
"Are you sure you want to delete selected menu's?","Ви впевнені, що хочете видалити вибрані меню?"
"Search in","Шукати в"
"Link Target","Ціль посилання"
