"Generate metadata","צור מטא-נתונים"
"Don't add any conditions if template is applied to all products.","אל תוסיף תנאים אם התבנית מוחלת על כל המוצרים."
"Entity Id","מזהה ישות"
"Generated at","נוצר ב"
"Generation log","יומן הדור"
"Generate Metadata","צור מטא-נתונים"
"Complete at %1","הושלם ב-%1"
"%1: items processed - %2","%1: פריטים מעובדים-%2"
"Start at %1","התחל ב-%1"
"You've deleted template.","מחקת תבנית."
"We can't find template to delete.","לא ניתן למצוא תבנית למחיקה."
"Template with ID %1 no longer exists.","תבנית עם מזהה %1 אינה קיימת עוד."
"Metadata Templates","תבניות מטא-נתונים"
"Edit ""%1""","ערוך את ""%1"""
"Create template","צור תבנית"
"A total of %1 template(s) have been deleted.","סכום כולל של %1 תבניות נמחקו."
"A total of %1 template(s) have updated status.","סך של %1 תבניות יש מצב מעודכן."
"New Template","תבנית חדשה"
"This template no longer exists.","תבנית זו אינה קיימת עוד."
"You saved the template.",". הצלת את התבנית"
"Something went wrong while saving the template.","משהו השתבש בעת שמירת התבנית."
"Category Attribute","תכונת הקטגוריה"
"Category ID","מזהה קטגוריה"
"All entities","כל היישויות"
"There is generated metadata for %1.","יש מטא-נתונים שנוצרו עבור %1."
Generated,שנוצר
"Value is read only","הערך לקריאה בלבד"
"Force to use generated metadata","כוח לשימוש במטא-נתונים שנוצרו"
"Start Time","שעת התחלה"
"Records to process per job","רשומות לעיבוד לפי משימה"
"Metadata Template Information","מידע אודות תבנית מטה-נתונים"
"Generate metadata from templates","יצירת מטא-נתונים מתבניות"
"Are you sure you want to delete selected templates?","האם אתה בטוח שברצונך למחוק את התבניות שנבחרו?"
"Template for","תבנית עבור"
"Data Type","סוג נתונים"
