"Record was deleted.","تم حذف السجل."
"Can't find a record to delete.","لا يمكن العثور على سجل لحذفه."
SoldTogether,"تباع Together"
"Customers Who Bought This Item Also Bought","العملاء الذين اشتروا هذا العنصر اشترى أيضا"
"Please correct the data sent.","الرجاء تصحيح البيانات المرسلة."
"Something went wrong while saving the page.","حدث خطأ ما أثناء حفظ الصفحة."
"We couldn't find any customers","لم نتمكن من العثور على أي عملاء"
"All Customer Orders have been indexed.","تم فهرسة جميع أوامر العملاء."
"Frequently Bought Together","اشترى بشكل متكرر معا"
"We couldn't find any orders","لم نتمكن من العثور على أي أوامر"
"All Orders have been indexed.","تم فهرسة جميع الطلبات."
"This Item","هذا العنصر"
"Add All to Cart","إضافة الكل إلى سلة التسوق"
Swissup,"سويس أوب"
Enabled,تمكين
"Count Products to Display","عد المنتجات لعرضها"
"Index Customer Orders","فهرسة أوامر العملاء"
"Related Product Name","اسم المنتج ذي الصلة"
"Is Admin","هو المشرف"
"Index Orders","أوامر الفهرس"
"Customers who bought this product also commonly purchased the following combination of items","العملاء الذين اشتروا هذا المنتج أيضا شراء عادة المجموعة التالية من العناصر"
"Customers Who Bought This Item(s) Also Bought","العملاء الذين اشتروا هذا البند (المواد) اشترى أيضا"
"Email Blocks Settings","إعدادات كتل البريد الإلكتروني"
"Frequently Bought Together Count Products to Display","يتم شراء منتجات معاً بشكل متكرر لعرضها"
"Customer Bought Together Count Products to Display","اشترى العميل معا عد المنتجات لعرض"
"List random products for empty collections","قائمة المنتجات العشوائية للمجموعات الفارغة"
"Show Out Of Stock Products","إظهار منتجات المخزون"
