"Manage Reminders","Herinneringen beheren"
Send,Verzenden
"Edit Reminder '%1'","Herinnering bewerken '%1'"
"Reminder Information",Herinneringsgegevens
"Customer Name","Naam van de klant"
"Customer Email","E-mail van de klant"
"Review Status","Status controleren"
"Order Products","Producten bestellen"
Run,Uitvoeren
"Reminder was deleted.","Herinnering is verwijderd."
"Can't find a reminder to delete.","Kan geen herinnering vinden om te verwijderen."
"Review Reminders","Herinneringen bekijken"
"This reminder no longer exists.","Deze herinnering bestaat niet meer."
"Edit Reminder","Herinnering bewerken"
"Please select store view(s)","Selecteer winkelweergave(s)"
"Please enter correct date in YYYY-MM-DD format","Voer de juiste datum in yyyy-MM-DD-formaat"
"Please select item(s).","Selecteer object(en)."
"Something went wrong while sending the reminder.","Er ging iets mis tijdens het verzenden van de herinnering."
"A total of %1 reminders have been sent.","Er zijn in totaal %1-herinneringen verzonden."
"A total of %1 record(s) have been changed.","In totaal zijn 1 record(s) gewijzigd."
"Reminder has been saved.","Herinnering is opgeslagen."
"Something went wrong while saving the reminder.","Er ging iets mis tijdens het opslaan van de herinnering."
"Reminder has been sent.","Herinnering is verzonden."
"Unable to find a reminder to send.","Kan geen herinnering vinden om te verzenden."
"Last year","Vorig jaar"
"Last month","Vorige maand"
"Last week","Vorige week"
"From custom date","Vanaf aangepaste datum"
"Not reviewed","Niet beoordeeld"
Reviewed,Herzien
"Customer not found","Klant niet gevonden"
"Write review","Beoordeling schrijven"
Hello,Hallo
"You\'ve recently bought %products_list what do you think about it?","Je hebt onlangs gekocht %products_list wat denk je over?"
"An error occured:","Er is een fout opgetreden:"
"Completed. {count} items were processed","Voltooid. {count} items zijn verwerkt"
Success,Succes
"Review Reminder","Herinnering voor beoordeling"
"Number of emails to send per cron iteration","Aantal e-mails dat per cron-iteratie moet worden verzonden"
"Default reminder status",Standaardherinneringsstatus
"Email Settings",E-mailinstellingen
"Send email from","E-mail verzenden vanaf"
"Email subject","Onderwerp van e-mail"
"Send email after, days","Stuur e-mail na, dagen"
"Process orders","Orders verwerken"
"Consider orders with status","Overweeg orders met status"
"Manual orders indexing","Handmatige orders indexeren"
"Index orders created","Indexorders gemaakt"
"Custom date","Aangepaste datum"
"Index orders made in store(s)","Indexorders in de winkel(en)"
"Delete items","Items verwijderen"
"Send items","Objecten verzenden"
"Are you sure you want to send selected reminders?","Weet je zeker dat je geselecteerde herinneringen wilt sturen?"
"Are you sure you want to change selected reminders status?","Weet u zeker dat u de status van geselecteerde herinneringen wilt wijzigen?"
