"Save Link","Зберегти посилання"
"The link has been deleted.","Посилання видалено."
"Unable to find a link to delete.","Не вдалося знайти посилання для видалення."
"Edit Link","Редагувати посилання"
"New Link","Нове посилання"
"Manage Links","Керування посиланнями"
"HTML Sitemap","Файл Sitemap для HTML"
"Link has been saved.","Посилання збережено."
"Something went wrong while saving the link.","Щось пішло не так, зберігаючи посилання."
"2 Columns","2 колонки"
"4 Columns","4 колонки"
"Link was not registered","Посилання не зареєстровано"
"Sitemap Page Title","Назва сторінки Sitemap"
"Sitemap Meta Description","Карта META опис"
"Sitemap Meta Keywords","Карта сайту мета-ключові слова"
"Sitemap Content Settings","Налаштування вмісту Sitemap"
"Show Stores on Sitemap","Показати магазини на карті сайту"
"Show Categories on Sitemap","Показати категорії на карті сайту"
"Max Categories Depth","Максимальна Глибина категорій"
"Use 0 for all levels","Використовуйте 0 для всіх рівнів"
"Show Products on Sitemap","Показати продукти на карті сайту"
"Show Out of Stock Products","Показати на складі продукти"
"Sort Products and Categories By","Сортувати товари та категорії за"
"Number of Columns","Кількість колонок"
"Group Links by First Letter","Групувати посилання за допомогою першої літери"
"Show CMS Pages on Sitemap","Показувати сторінки CMS на карті сайту"
"Exclude CMS Pages","Виключити сторінки CMS"
"Show Custom Links on Sitemap","Показати настроювані посилання на карті сайту"
"To add custom links go Swissup > HTML Sitemap Links ","Для додавання настроюваних посилань перейдіть до сторінки > посилання на Sitemap для HTML "
"Are you sure you want to enable selected items?","Ви дійсно бажаєте увімкнути вибрані елементи?"
"Are you sure you want to disable selected items?","Ви дійсно бажаєте вимкнути вибрані елементи?"
"Link Information","Інформація про зв'язок"
"CMS Pages","CMS сторінок"
"Other Pages","Інші сторінки"
