"Generate metadata","Generar metadatos"
"Don't add any conditions if template is applied to all products.","No agregue ninguna condición si la plantilla se aplica a todos los productos."
"Entity Id","Id de entidad"
"Generated at","Generado en"
"Generation log","Registro de generación"
"Generate Metadata","Generar metadatos"
"Complete at %1","Completa en %1"
"%1: items processed - %2","%1: artículos procesados - %2"
"Start at %1","Comience en %1"
"You've deleted template.","Ha eliminado la plantilla."
"We can't find template to delete.","No podemos encontrar la plantilla para eliminar."
"Template with ID %1 no longer exists.","La plantilla con ID %1 ya no existe."
"Metadata Templates","Plantillas de metadatos"
"Edit ""%1""","Editar ""%1"""
"Create template","Crear plantilla"
"A total of %1 template(s) have been deleted.","Se ha eliminado un total de %1 plantillas."
"A total of %1 template(s) have updated status.","Un total de %1 plantillas han actualizado el estado."
"New Template","Nueva plantilla"
"This template no longer exists.","Esta plantilla ya no existe."
"You saved the template.","Ha guardado la plantilla."
"Something went wrong while saving the template.","Algo salió mal mientras guardaba la plantilla."
"Category Attribute","Atributo de categoría"
"Category ID","IDENTIFICACIÓN de categoría"
"All entities","Todas las entidades"
"There is generated metadata for %1.","Se generan metadatos para %1."
Generated,Generado
"Value is read only","El valor es de solo lectura"
"Force to use generated metadata","Forzar el uso de metadatos generados"
"Start Time","Hora de inicio"
"Records to process per job","Registros para procesar por trabajo"
"Metadata Template Information","Información de la plantilla de metadatos"
"Generate metadata from templates","Generar metadatos a partir de plantillas"
"Are you sure you want to delete selected templates?","¿Está seguro de que desea eliminar las plantillas seleccionadas?"
"Template for","Plantilla para"
"Data Type","Tipo de datos"
