"Manage Reminders","Gerenciar lembretes"
Send,Enviar
"Edit Reminder '%1'","Editar lembrete '%1'"
"Reminder Information","Informações sobre lembretes"
"Customer Name","Nome do cliente"
"Customer Email","E-mail do cliente"
"Review Status","Status de revisão"
"Order Products","Produtos de encomenda"
Run,Executar
"Reminder was deleted.","O lembrete foi apagado."
"Can't find a reminder to delete.","Não consigo encontrar um lembrete para apagar."
"Review Reminders","Lembretes de revisão"
"This reminder no longer exists.","Esse lembrete não existe mais."
"Edit Reminder","Editar lembrete"
"Please select store view(s)","Selecione a exibição da loja(s)"
"Please enter correct date in YYYY-MM-DD format","Digite a data correta no formato YYYY-MM-DD"
"Please select item(s).","Selecione item(s)."
"Something went wrong while sending the reminder.","Algo deu errado enquanto enviava o lembrete."
"A total of %1 reminders have been sent.","Um total de %1 lembretes foram enviados."
"A total of %1 record(s) have been changed.","Um total de %1 registros foram alterados."
"Reminder has been saved.","O lembrete foi salvo."
"Something went wrong while saving the reminder.","Algo deu errado enquanto guardava o lembrete."
"Reminder has been sent.","O lembrete foi enviado."
"Unable to find a reminder to send.","Não é possível encontrar um lembrete para enviar."
"Last year","No ano passado"
"Last month","No mês passado."
"Last week","A semana passada"
"From custom date","A partir da data personalizada"
"Not reviewed","Não revisado"
Reviewed,Revisto
"Customer not found","Cliente não encontrado"
"Write review","Escrever revisão"
Hello,Olá
"You\'ve recently bought %products_list what do you think about it?","Você comprou recentemente %products_list o que você acha disso?"
"An error occured:","Ocorreu um erro:"
"Completed. {count} items were processed","Concluído. {contagem} itens foram processados"
Success,Sucesso
"Review Reminder","Lembrete de revisão"
"Number of emails to send per cron iteration","Número de e-mails para enviar por iteração por cron"
"Default reminder status","Status de lembrete padrão"
"Email Settings","Configurações de e-mail"
"Send email from","Enviar e-mail de"
"Email subject","Assunto de e-mail"
"Send email after, days","Envie e-mail após, dias"
"Process orders","Pedidos de processo"
"Consider orders with status","Considere ordens com status"
"Manual orders indexing","Indexação manual de pedidos"
"Index orders created","Ordens de índice criadas"
"Custom date","Data personalizada"
"Index orders made in store(s)","Pedidos de índice feitos em lojas"
"Delete items","Excluir itens"
"Send items","Enviar itens"
"Are you sure you want to send selected reminders?","Tem certeza de que deseja enviar lembretes selecionados?"
"Are you sure you want to change selected reminders status?","Tem certeza de que deseja alterar o status de lembretes selecionados?"
