"Product Labels","מדבקות מוצרים"
"Add New Label","הוסף תווית חדשה"
"Save Label","שמור תווית"
"Delete Label","מחק תווית"
"Edit Label '%1'","ערוך תווית ' %1 '"
"New Label","מותג חדש"
Settings,גדרות
Position,עמדה
Top-Left,"שמאל עליון"
Top-Center,"המרכז העליון"
Top-Right,"קצה ימני"
Middle-Left,שמאלית-אמצעית
Middle-Center,"מרכז אמצע"
Middle-Right,"המרכז הימני"
Bottom-Left,"הקצה השמאלי התחתון"
Bottom-Center,"המרכז התחתון"
Bottom-Right,"קצה תחתון ימני"
Content,תוכן
"Label Text","טקסט בתווית"
"Custom Css Label","תווית Css מותאמת אישית"
"Css Style Only. Example: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); width: 60px; height: 60px;background:#ff7800; border-radius:50%;","סגנון Css בלבד. דוגמה: צבע: #fff; צל טקסט: 0 1px 0 rgba (0, 0, 0, 0.3); רוחב: 60px; גובה: 60px; רקע: #ff7800; רדיוס גבול: 50%;"
"Label Custom Url","תווית כתובת Url מותאמת אישית"
"Round Method","שיטה עגולה"
Math,מתמטיקה
Ceil,סיל
Floor,קומה
"Round Value","ערך עגול"
"Labels Gallery","גלריית תויות"
"Label Image","תמונת תווית"
"Category Label","תווית קטגוריה"
"Conditions (don't add conditions if label is applied to all products)","תנאים (אל תוסיף תנאים אם התווית מוחלת על כל המוצרים)"
"Indexed Products","מוצרים בעלי אינדקס"
"Attribute Set","ערכת תכונות"
"Product Label","תווית מוצר"
"Label Gallery","גלריית תוויות"
"We couldn't find any labels","לא הצלחנו למצוא תוויות"
"Labels have been applied.","הוחלו תוויות."
"Label has been applied.","תווית הוחלה."
"Label was deleted.","התווית נמחקה."
"Can't find a label to delete.","אין אפשרות למצוא תווית למחיקה."
"Label was disabled.","התווית בוטלה."
"Can't find a label to disable.","אין אפשרות למצוא תווית כדי להפוך ללא זמינה."
ProLabels,"מדבקות לפרותויות"
"Manage Labels","ניהול תוויות"
"This label no longer exists.",". הלייבל הזה כבר לא קיים"
"Edit Label","עריכת תווית"
"Label was enabled.","התווית הופעלה."
"Can't find a label to enable.","לא ניתן למצוא תווית להפעלה."
"Label has been saved.","התווית נשמרה."
"Something went wrong while saving the label.","משהו השתבש. בזמן שהציל את הלייבל"
"up to ","עד "
Edit,ערוך
"All Store Views","כל תצוגות החנות"
"Click here or drag and drop to add images.","לחץ כאן או גרור ושחרר כדי להוסיף תמונות."
Swissup,סוויסופ
"jQuery Selector For Base Image Wrapper","בורר jQuery עבור מעטפת תמונת בסיס"
"jQuery Selector For Content Labels Container","בורר jQuery לתוויות תוכן מכולה"
"On Sale",במבצע
"SALE labels are the cost-effective way to mark store sales and attract visitors attention. They are shown on discounted and on-sale products. Using On Sale labels you catch customers attention to the promotional items.","תוויות מכירה הן דרך חסכונית לסמן מכירות חנות ולמשוך תשומת לב המבקרים. הם מוצגים על מוצרים מוזלים ועל מכירה. שימוש בתוויות למכירה אתה מתפוס את תשומת הלב של הלקוחות לפריטים הפרסומיים."
"Product Page","עמוד המוצר"
Image,תמונה
"Custom Label","תווית מותאמת אישית"
"Category Page","עמוד הקטגוריה"
"Is New","הינה חדשה"
"New Labels are used for the presentation of new items at your store.","תוויות חדשות משמשות להצגת פריטים חדשים בחנות שלך."
"In Stock",במלאי
"In Stock labels are used to show low stock items. Using in stock and out of stock labels, you focus the customers attention on the limited availability of products.","בתוויות Stock משמשות להצגת פריטי מניות נמוכים. שימוש במלאי ומחוץ לתוויות מניות, אתה ממקד את תשומת הלב של הלקוחות על זמינות מוגבלת של מוצרים."
"Display if Stock is lower then","הצג אם המלאי נמוך לאחר מכן"
"Out Of Stock","מחוץ למלאי"
"Apply Labels","החלת תוויות"
"Product Image","תמונת מוצר"
"Product Position","מיקום מוצר"
"Product Text","טקסט מוצר"
"Category Image","תמונת קטגוריה"
"Category Position","מיקום הקטגוריה"
"Category Text","טקסט בקטגוריה"
