"Manage Reminders","Hantera påminnelser"
Send,Skicka
"Edit Reminder '%1'","Redigera påminnelsen %1"
"Reminder Information","Information om påminnelse"
"Customer Name","Kundens namn"
"Customer Email","E-post till kunder"
"Review Status","Granska status"
"Order Products","Beställ produkter"
Run,Köra
"Reminder was deleted.","Påminnelsen har tagits bort."
"Can't find a reminder to delete.","Det går inte att hitta en påminnelse om att ta bort."
"Review Reminders","Granska påminnelser"
"This reminder no longer exists.","Den här påminnelsen finns inte längre."
"Edit Reminder","Redigera påminnelse"
"Please select store view(s)","Välj butiksvyer"
"Please enter correct date in YYYY-MM-DD format","Ange rätt datum i YYYY-MM-DD-format"
"Please select item(s).","Välj objekt."
"Something went wrong while sending the reminder.","Något gick fel när du skickar påminnelsen."
"A total of %1 reminders have been sent.","Totalt %1 betalningspåminnelser har skickats."
"A total of %1 record(s) have been changed.","Totalt %1 post har ändrats."
"Reminder has been saved.","Påminnelsen har sparats."
"Something went wrong while saving the reminder.","Något gick fel när du sparar påminnelsen."
"Reminder has been sent.","Påminnelsen har skickats."
"Unable to find a reminder to send.","Det gick inte att hitta en påminnelse att skicka."
"Last year","Förra året"
"Last month","Förra månaden"
"Last week","Förra veckan"
"From custom date","Från anpassat datum"
"Not reviewed","Ej recenserad"
Reviewed,Recenserade
"Customer not found","Kunden hittades inte"
"Write review","Skriv recension"
Hello,Hej
"You\'ve recently bought %products_list what do you think about it?","Du har nyligen köpt %products_list vad tycker du om det?"
"An error occured:","Ett fel uppstod:"
"Completed. {count} items were processed","Avslutade. {antal} objekt bearbetades"
Success,Framgång
"Review Reminder","Granska påminnelse"
"Number of emails to send per cron iteration","Antal e-postmeddelanden att skicka per cron iteration"
"Default reminder status","Standardstatus för påminnelse"
"Email Settings","Inställningar för e-post"
"Send email from","Skicka e-post från"
"Email subject",E-postämne
"Send email after, days","Skicka e-post efter, dagar"
"Process orders","Bearbeta order"
"Consider orders with status","Överväg order med status"
"Manual orders indexing","Manuell orderindexering"
"Index orders created","Indexorder som skapats"
"Custom date","Anpassat datum"
"Index orders made in store(s)","Indexorder gjorda i butik(er)"
"Delete items","Ta bort objekt"
"Send items","Skicka artiklar"
"Are you sure you want to send selected reminders?","Vill du skicka markerade påminnelser?"
"Are you sure you want to change selected reminders status?","Vill du ändra status för valda påminnelser?"
