"Edit '%1'","ویرایش '%1'"
"Answer Information","اطلاعات جواب"
Hint,امتیاز
Questions,سوالات
"Edit Question '%1'","ویرایش سوال '%1'"
"No Found","یافت نشد"
"Created date","تاریخ ساخت"
"Update date","تاریخ بروزرسانی"
"Are you sure?","آیا اطمینان دارید؟"
Unknown,غیر قابل فهم
Private,شخصی
"Add New Answer","اضافه کردن جواب"
"Questions %1","سوالات %1"
"Please select item(s).","لطفاً یک گزینه را انتخاب کنید"
"The answer has been deleted.","جواب حذف گردید"
"We can't find a answer to delete.","ما نمی توانیم جوابی را برای حذف کردن پیدا کنیم"
Askit,سوال کنید
Answers,جواب ها
"This item no longer exists.","این آیتم موجود نمی باشد"
"Askit Items","آیتم های سوال کنید"
"Askit Recent Answers","سوالات جدید"
"Manage Recent Askit Answers","مدیریت پاسخ های جدید"
"You saved.","ذخیره شد"
"Something went wrong while saving the question.","مشکلی در زمان ذخیره سوال پیش آمده."
"A total of %1 record(s) have been deleted.","تعداد %1 آیتم حذف گردید"
"A total of %1 record(s) have been changed.","تعداد %1 آیتم تغییر یافت"
"The question has been deleted.","این سوال حذف گردید"
"We can't find a question to delete.","سوالی برای حذف کردن پیدا نشد !"
"New Askit Question","سوال جدید"
"Askit Questions","سوالات"
"Manage Askit Questions","مدیریت سوالات"
"You question saved.","سوال شما ذخیره شد"
"You answer was added.","سوال شما اضافه شده"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","با سپاس دیدگاه و سوال شما ما بزودی پاسخ می دهیم"
"We can't process your request right now. Sorry, that's all we know.","درحال حاضر امکان انجام درخواست شما نمی باشد متاسفیم !"
"My Questions",سوالات من
"Your must login","شما باید وارد شوید!"
"Sorry, only logged in customer can hint.","متاسفیم فقط کاربرانی که وارد شده اند می توانند امتیاز دهند"
"Sorry, already voted","شما در حال حاضر رای دادید!"
"Pending","در انتظار"
"Approved","تایید شده"
"Disapproved","عدم تایید"
"Askit Question","سوالات"
"Askit Answer","پاسخ"
"Edit Question","ویرایش سوال"
"New Answer","پاسخ جدید"
"Delete ""${ $.$data.text }""","حذف ""${ $.$data.text }"""
"Are you sure you want to delete a ""${ $.$data.text }"" record?","آیا شما مایل به حذف رکورد ""${ $.$data.text }""می باشید ؟"
"Only registered users can write comments. Please <a href=""%1"">Sign in</a> or <a href=""%2"">Create an account</a>","جهت ارسال پاسخ یا دیدگاه خود<a href=""%1""> وارد شوید</a> یا <a href=""%2""> ثبت نام کنید </a>"
"Your Answer","پاسخ شما"
"Leave a Reply","پاسخ بدهید"
"%1 people found this answer helpful.","تعداد %1 کاربر این پاسخ را مفید دانستند."
"Only registered users can write questions. Please <a href=""%1"">Sign in</a> or <a href=""%2"">Create an account</a>","تنها کابرانی می توانند سوال کنند  لطفاً  <a href=""%1""> وارد شوید</a> یا <a href=""%2""> ثبت نام کنید </a>"
"Ask Your Question","سوال خود را بپرسید"
"Jot us a note and we’ll get back to you as quickly as possible.","پیام شما دریافت شد ما بزودی پاسخ آن را برای شما میفرستیم"
"Question","سؤال"
"Post a private question","ارسال یک سوال خصوصی"
"Submit","إرسال"
"You have submitted no questions.","شما هیچ سوالی را ارسال نکردید"
"answer' 'answers","پاسخ"
"%1 people already voted for this question.","تعداد %1 نفر به این سوال رای داده اند"
"Vote for It","رای بدهید"
"New products question was just posted or updated. Please see details below","سوالات جدید برای محصولات ارسال شده یا ویرایش شده است لطفاً اطلاعات زیر را مشاهده نمایید"
"E-mail",ایمیل"
"You can follow the question at Swissup -> Askit Questions","شما میتوانید این سوال را در لیست سوالات مشاهده نمایید"
"Dear","عزیز"
"New answer was just posted to your question regarding","پاسخ جدید برای سوال شما داده شد"
"Your question:","سوال شما:"
"Answer:","پاسخ:"
"Thank you again","مجدد سپاسگزاریم"
"Default question status","حالت پیش فرض سوال"
"Default answer status","حالت پیش فرض پاسخ"
"Allow guest to ask questions","امکان پرسیدن سوال توسط کاربران ناشناخته"
"Allow customers comment","اجازه دیدگاه کاربران"
"Allow guest comment","اجازه دیدگاه کاربران ناشناخته"
"Allow customer vote","اجازه رای مشتریان"
"Show customer name on frontend","نمایش نام کاربر در صفحه "
"Show link to related item (Product, Category or Page)","نمایش لینک مربوط به محصول یا دسته بندی یا صفحات"
"Add questions block to all category pages","اضافه کردن سوال به تمام دسته بندی ها"
"Add questions block to all CMS pages","اضافه کردن بلوک سوالات به تمام صفحات اصلی "
"Enable 'no questions' message","فعال سازی پیام ""هیچ سوالی نیست"""
"Sender","ارسال کننده"
"Customer Notification Template","قالب اعلان به کاربر"
"Send admin notification to","ارسال علان به مدیر"
"Admin Notification Template","قالب ارسال اعلان به مدیر"
"Askit: Questions + New Question Form","Askit: سوال + فرم سوال جدید"
"Hide listing block","مخفی کردن بلوک لیست مسدودی"
"Hide form block","مخفی کردن بلوک فرم مسدودی"
"Assigned Products","کالای مورد نظر"
"Assigned Pages","صفحه مورد نظر"
"Assigned Categories","دسته مورد نظر"
"Delete items","حذف آیتم"
"Are you sure you want to delete selected items?","آیا برای حذف آیتم های انتخاب شده مطمئن هستید ؟"
"Answer","پاسخ"
"Entity Type","نوع کلید"
"Entity","موجودیت"
"Votes","رای ها"
"Your question was answered on","سوال شما پاسخ داده شد در "
"It is helpful","مفید بود"
"Not much help","کمکی نکرد"
"asks","پرسیدن"
"about","درباره"
" answer"," پاسخ"
"answer","پاسخ"
"Submit Question","ارسال سوال"
"Not much help", "مفید نبود"
"Something went wrong while saving the answer.","درهنگام ذخیره جواب مشکلی پیش آمده."
"Answer saved.","جواب ذخیره شد."
